indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
SP.URB.TOTL,831329755,855629549,880827966,906393615,932764512,959518064,986522345,1014041518,1042088543,1070808942,1100575524,1130922560,1161654015,1193288207,1225660705,1258365298,1291311833,1324700256
SP.URB.GROW,2.93139596726328,2.92300303866786,2.94501481738799,2.90245655074943,2.9094310202086,2.86820002860486,2.81435879251984,2.78951339921247,2.76586554910665,2.75604210342037,2.77982194885331,2.75737878393886,2.71737925185612,2.72320257077578,2.7128817506197,2.6683235308584,2.61820117356733,2.58562046337261
SP.POP.TOTL,2459549814,2505434958,2550242901,2594524373,2639297493,2683610483,2727263371,2770966712,2814667244,2858820038,2904506894,2950807764,2996702087,3042938624,3089095464,3134736445,3180221060,3225575822
SP.POP.GROW,1.87795753419972,1.86559116383076,1.78842970386941,1.73636291596524,1.72567737138772,1.67896912407667,1.62664769259659,1.60246133412394,1.57708614148086,1.56866834238114,1.59810185295757,1.5941043244086,1.55531388929882,1.54291403208143,1.51685083740946,1.47748690617999,1.45098689468932,1.42615123742374
