indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
SP.URB.TOTL,125693668,130849818,135879840,140867968,146072614,151416693,156947515,162751283,168812982,175167463,181950769,188744530,195246877,201726825,208293654,214912950,221601322,228567551
SP.URB.GROW,3.80699666984914,4.1021557267308,3.84411845341657,3.67098459933423,3.69469800260056,3.65850850043662,3.65271615065585,3.69790372278274,3.72451687523716,3.764213465526,3.87246916968822,3.73384571955286,3.44505189104024,3.31884847510263,3.25530776583629,3.17786733915571,3.11213074875198,3.14358639069852
SP.POP.TOTL,370910722,381142622,390704440,399995493,409622323,419337831,429250772,439576756,450269469,461410153,473204510,484919898,495868522,506443358,516900084,527175885,537358412,547984961
SP.POP.GROW,2.74314664989879,2.75858835916853,2.5087244113045,2.37802595742194,2.40673461788231,2.37182093222981,2.36395103593694,2.40558309351159,2.43250191327222,2.47422593957842,2.55615463234074,2.47575577840541,2.25782114637003,2.13258868648249,2.06473751404199,1.98796659510701,1.9315236697521,1.97755329826306
