indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
SP.URB.TOTL,1186387,1187130,1174317,1173927,1173001,1171843,1170744,1170224,1170314,1171282,1173181,1175261,1177371,1180399,1184330,1188475,1192987,1197983
SP.URB.GROW,0.0990892723551782,0.0626075165477599,-1.08519274348444,-0.0332163100244931,-0.0789116707501944,-0.0987699048755907,-0.0938278988679569,-0.0444260672125847,0.00769053952931664,0.0826786563644444,0.161998753258618,0.177138762114444,0.179373617781445,0.256853014902241,0.33246969280435,0.349375883502964,0.378927347892163,0.417906311754642
SP.POP.TOTL,2026350,2034882,2020157,2026773,2032544,2036855,2040228,2043559,2046898,2050671,2055004,2058539,2061044,2064032,2067471,2070226,2072490,2074502
SP.POP.GROW,0.455448702114895,0.420168685369998,-0.726260079023056,0.326964187374614,0.284333738311281,0.211874117661892,0.165461471818753,0.16313293218841,0.163258078088837,0.18415802473701,0.21107377513823,0.171871346437471,0.121614265751721,0.144870083488649,0.166476984005751,0.133165884651483,0.109300286352773,0.0970341952851146
