indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
SP.URB.TOTL,5629167,5539603,5448708,5433321,5419782,5406009,5391557,5378166,5366322,5357245,5347166,5337678,5331472,5326274,5320503,5310996,5298039,5283539
SP.URB.GROW,-0.171157650642926,-1.60386362919759,-1.65443211908207,-0.282796714742491,-0.249495596294176,-0.254448057069833,-0.267690118865882,-0.248678761764876,-0.220466620603334,-0.169290725144742,-0.188314947521282,-0.177597398592412,-0.116335428781667,-0.0975440850654849,-0.108408405007288,-0.178845947012378,-0.244263619495968,-0.274061374886556
SP.POP.TOTL,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947
SP.POP.GROW,-0.493896416633318,-1.99063220438276,-2.17069878030004,-0.79211363763553,-0.754796951273604,-0.752977445493645,-0.759505915531059,-0.735282283991309,-0.70192274454598,-0.644281362547054,-0.658275446635908,-0.641228920515067,-0.579220596364389,-0.559647217410859,-0.568389264052903,-0.638069468160719,-0.701382097841331,-0.730443175298289
