indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
SP.URB.TOTL,1647994,1716308,1785635,1857506,1932466,2009625,2094108,2184128,2276619,2371202,2466614,2566655,2669941,2775764,2884669,2996765,3112655,3232367
SP.URB.GROW,4.2049137134671,4.06166814354079,3.95986221278719,3.94606334853757,3.95621797816319,3.91512299667463,4.11795495485976,4.20889771742969,4.14747834290649,4.07055519211195,3.94493603886538,3.97571347639327,3.94528800630779,3.88696498316762,3.84841373873587,3.8123211506321,3.79426862325881,3.77386264448345
SP.POP.TOTL,5008035,5145426,5281538,5421001,5565218,5711597,5874240,6047537,6222482,6398624,6571855,6748672,6926635,7106229,7288383,7473229,7661354,7852795
SP.POP.GROW,2.8372567506566,2.70645421009308,2.61091784886825,2.60631415651139,2.6255672619467,2.59625119615377,2.80780206331491,2.90743917538544,2.85177808134201,2.791410472239,2.6713169382967,2.65496081549196,2.60283805012609,2.55975980782637,2.53099873501229,2.50454574117742,2.48615624048351,2.46807888446754
