indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
SP.URB.TOTL,520130,547065,577261,611164,650742,692707,736488,783656,837579,903684,971253,1032093,1096506,1165374,1235881,1295625,1350704,1417430
SP.URB.GROW,4.62153763088361,5.04888450132963,5.37268785774085,5.70708316726612,6.27479146975711,6.2493860070609,6.12858321286989,6.20772060591364,6.65454390587286,7.596415415179,7.21072487195949,6.07570677801742,6.05399815388462,6.09133047244049,5.87420105418283,4.72091281246148,4.16327337996974,4.82194346767499
SP.POP.TOTL,6307659,6465729,6648938,6860846,7120496,7388874,7658190,7944609,8278109,8709366,9126605,9455733,9795479,10149577,10494913,10727148,10903327,11155593
SP.POP.GROW,2.0417212041938,2.47511575866868,2.79413757787033,3.13736150828626,3.71466281696618,3.69979693670807,3.58003081168824,3.67179220330916,4.11209752356589,5.07844376468302,4.67947760941816,3.54274498118795,3.52997284776032,3.55110770404353,3.3458633833966,2.18870609045616,1.62902475388378,2.28730144695888
