indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
SP.URB.TOTL,1004078,1040477,1078294,1117646,1158884,1202441,1248711,1297812,1349725,1404767,1463559,1525981,1591211,1657904,1723968,1787489,1847523,1904278
SP.URB.GROW,3.54974250712575,3.56095543549978,3.57009007263004,3.5844525165144,3.6232785326017,3.68961842776437,3.77581619166747,3.85679503175068,3.92210984170203,3.99705847382003,4.09996879177844,4.17663412806507,4.1857879622497,4.10587923957758,3.90744566331908,3.61832311366208,3.30339812975426,3.02571110958661
SP.POP.TOTL,1272935,1306590,1341696,1378398,1417110,1458353,1502534,1549774,1599978,1653542,1711105,1772500,1836705,1902226,1966855,2028517,2086206,2140215
SP.POP.GROW,2.55979388649606,2.60954321589185,2.65137953739362,2.69874699554435,2.76976312159116,2.86881302760127,2.98452993581194,3.09560977258065,3.18807653024551,3.2929774631171,3.42197068660406,3.52516187757304,3.55822259981442,3.50515739344233,3.34110410137597,3.08691638355563,2.80421210921345,2.55591859788162
