indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
SP.URB.TOTL,1867017,1913048,1959794,2007308,2055838,2105243,2155078,2205430,2256550,2308270,2360424,2413758,2468484,2524214,2581031,2639227,2698732,2759313
SP.URB.GROW,3.18016218103103,2.43558115876792,2.41415840553212,2.39551552418952,2.38890297943089,2.37473491874482,2.33960178946282,2.30955834281551,2.29145970246075,2.26612279567452,2.23429377115688,2.23436051826336,2.24193279267508,2.23255301119704,2.22592043741403,2.22971397398894,2.22959618173762,2.21997026314659
SP.POP.TOTL,3001731,3061024,3120990,3181608,3243311,3305868,3368573,3431614,3495276,3559343,3623617,3688674,3754862,3821556,3888793,3957099,4026336,4096063
SP.POP.GROW,1.97188791278722,1.95603782398984,1.94007586747458,1.92364701840572,1.92079922199436,1.91043496107333,1.87901413538404,1.85414918870892,1.8381638086969,1.81636347456987,1.78967209984493,1.77943456083626,1.77844896646925,1.76061359830409,1.74411571812086,1.74123543377264,1.73456002172234,1.71694872170027
