indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
SP.URB.TOTL,73132993,74590443,76056158,77520574,78995700,80460988,81892383,83306647,84700556,86085517,87567088,89164082,90758420,92306597,93808838,95260846,96701350,98108030
SP.URB.GROW,1.96131969556176,1.97327835219045,1.94595993878443,1.9071383624649,1.88500485100268,1.83790252338506,1.76335370311728,1.71223590367281,1.65938240735703,1.62190199212404,1.70640336814944,1.80730707479904,1.77229608781534,1.69143612007338,1.61434609111677,1.5359802968669,1.5008486774346,1.44418554060996
SP.POP.TOTL,97873442,99394288,100917081,102429341,103945813,105442402,106886790,108302973,109684489,111049428,112532401,114150481,115755909,117290686,118755887,120149897,121519221,122839258
SP.POP.GROW,1.58455078746177,1.54194113014521,1.52045522318023,1.48740053113001,1.4696529746789,1.42951167105736,1.36053857389621,1.31623681916458,1.26753574174522,1.23674369230562,1.32657895725526,1.4276397653994,1.39661546186197,1.317160792789,1.2414667155537,1.16700884975484,1.13323428792033,1.08042073770937
