indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
SP.URB.TOTL,354162,361755,369361,376961,381058,383698,386254,388857,391621,394521,397301,399777,402174,404636,407105,409418,411597,413735
SP.URB.GROW,1.59440537638767,2.12127515430801,2.08072984646732,2.03672482401899,1.08098606908643,0.690419032192582,0.663939931159043,0.671648263371455,0.708286858855469,0.737783544066644,0.702180899874301,0.621271184000877,0.597793914643945,0.610306674911079,0.608323988548127,0.566550161322711,0.530807626226144,0.518095695405891
SP.POP.TOTL,604950,607389,609828,612267,613353,614261,615025,615875,616969,618294,619428,620079,620601,621207,621810,622159,622303,622373
SP.POP.GROW,-0.0279740186992493,0.402363248322291,0.400750772330341,0.399151168806326,0.177216475615812,0.147929262061512,0.12429981279666,0.138110347731053,0.177475866720179,0.214529295893828,0.183239906425096,0.10504177223011,0.0841474080023094,0.097599636675676,0.0970220113323688,0.0561107244885728,0.0231425307711559,0.011247907097728
