indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
SP.URB.TOTL,39658,41054,42456,43862,45286,46727,48177,49647,51123,52602,54074,55492,56860,58212,59559,60911,62255,63581
SP.URB.GROW,3.49733538150567,3.45955801183733,3.35799722306069,3.25800960597195,3.19495923650165,3.13242221135565,3.05595726835774,3.00562369574523,2.92965280884495,2.85196480411381,2.75993369995976,2.58853873843781,2.43532400043746,2.3499412828226,2.28758988319717,2.24463644959813,2.18250710253431,2.10758301710141
SP.POP.TOTL,39658,41054,42456,43862,45286,46727,48177,49647,51123,52602,54074,55492,56860,58212,59559,60911,62255,63581
SP.POP.GROW,3.49733538150567,3.45955801183736,3.35799722306069,3.25800960597195,3.19495923650163,3.13242221135563,3.05595726835774,3.00562369574523,2.92965280884495,2.85196480411381,2.75993369995976,2.58853873843781,2.43532400043746,2.3499412828226,2.28758988319717,2.24463644959813,2.18250710253431,2.10758301710141
