indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
SP.URB.TOTL,109140,112590,116126,119715,123356,127046,130783,134557,138353,142147,145682,149043,152506,156082,159731,163403,167109,170864
SP.URB.GROW,2.84002286407907,3.11214400569533,3.09229066920039,3.04381094890388,2.99605658716917,2.94747417349311,2.89902355546765,2.84484399316828,2.78204890432151,2.70533432749151,2.45644306384036,2.28086908696299,2.29690846205685,2.31775706385302,2.31096401726445,2.27283917635128,2.2426752004562,2.22216243141438
SP.POP.TOTL,240406,248100,255987,263998,272128,280375,288729,297173,305671,314171,322106,329538,337059,344688,352335,359871,367313,374693
SP.POP.GROW,3.24372870048271,3.15027299454963,3.12947712423959,3.08148654198932,3.03310164793291,2.98554490009989,2.93605390781473,2.88259288843,2.8194899348079,2.74280635114816,2.49432602566338,2.28109896258836,2.25663156677437,2.23816708234299,2.19427675238371,2.11632063401839,2.04687117105776,1.9892678402512
