indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
SP.URB.TOTL,234381189,235945597,237890076,240000854,242128814,244182997,246112194,248153262,250125886,251703061,253074480,253287677,254568545,256128892,257681423,259180525,260667414,261973277
SP.URB.GROW,0.588520975014291,0.667463121368499,0.824121757186248,0.887291321896086,0.88664684501498,0.848384364530858,0.790061971432038,0.829324206503969,0.794921648057965,0.630552489077445,0.54485590860574,0.0842427889212729,0.505696927371631,0.612937863159814,0.606152233696463,0.581765647886854,0.5736885516379,0.500969024076014
SP.POP.TOTL,321324622,322562386,324141533,325904835,327702192,329398861,330939600,332660837,334290264,335377620,336171621,335442349,336183135,337328817,338486932,339514675,340509447,341246081
SP.POP.GROW,0.328616767600721,0.385206708498046,0.489563280946228,0.543991380456646,0.551497494659742,0.517747223369184,0.467742661684539,0.520106085823514,0.489816298995251,0.325273008848399,0.2367483554806,-0.216934433022828,0.220838544151732,0.34079103938393,0.343319319795924,0.303628560762263,0.292998233434247,0.216332911315661
